variable,spearman_r,p_value
t_lag24,0.95,0.0
t_lag1,0.94,0.0
y_1h,0.94,0.0
t_lag168,0.934,0.0
rel_w,0.861,0.0
y_drop_3h,-0.503,0.0
t_ma24,0.476,0.0
hr,0.18,0.0
outage,0.02,1.255915720334879e-16
period,-0.02,1.821613550897034e-17
cloud_inc,0.005,0.05272516923221146
dow,0.002,0.5264224363199852
