,count,mean,min,25%,50%,75%,max,std,skew
ts,174680,2026-03-15 05:30:00,2025-09-14 07:00:00,2025-12-14 06:00:00,2026-03-15 05:30:00,2026-06-14 05:00:00,2026-09-13 04:00:00,,
traffic,174680.0,0.5569700674833982,0.0,0.40239674999999997,0.569068,0.718137,1.0,0.20282663082681646,-0.155
outage,174680.0,0.0024215708724524844,0.0,0.0,0.0,0.0,1.0,0.049149981651761536,20.248
cloud_inc,174680.0,0.00572475383558507,0.0,0.0,0.0,0.0,1.0,0.07544543468284742,13.103
