ts,mean,median,p05,p95,n
1,0.549,0.56,0.206,0.856,14880.0
2,0.568,0.583,0.219,0.875,13440.0
3,0.561,0.574,0.222,0.864,14880.0
4,0.576,0.587,0.232,0.88,14400.0
5,0.545,0.552,0.214,0.84,14880.0
6,0.554,0.564,0.222,0.856,14400.0
7,0.561,0.582,0.215,0.872,14880.0
8,0.588,0.614,0.225,0.893,14880.0
9,0.551,0.561,0.212,0.862,13880.0
10,0.552,0.564,0.208,0.87,14880.0
11,0.523,0.524,0.197,0.846,14400.0
12,0.556,0.563,0.208,0.873,14880.0
