,count,unique,top,freq,mean,min,25%,50%,75%,max,std
ts,174920,,,,2026-03-15 05:30:07.409101568+00:00,2025-09-14 07:00:00+00:00,2025-12-14 06:00:00+00:00,2026-03-15 05:30:00+00:00,2026-06-14 05:00:00+00:00,2026-09-13 04:00:00+00:00,
traffic,174920.0,,,,0.5569181797507433,0.0,0.40231849999999997,0.5689995,0.71808625,1.0,0.2028298167770823
loc,174920,20,US,8746,,,,,,,
