period,mean,median,std,count
1,0.549,0.56,0.202,14880
2,0.568,0.583,0.204,13440
3,0.561,0.574,0.198,14880
4,0.576,0.587,0.202,14400
5,0.545,0.552,0.196,14880
6,0.554,0.564,0.195,14400
7,0.561,0.582,0.203,14880
8,0.588,0.614,0.208,14880
9,0.551,0.561,0.2,13880
10,0.552,0.564,0.208,14880
11,0.523,0.524,0.202,14400
12,0.556,0.563,0.209,14880
