loc,mean,count
SG,0.698,8734
NL,0.667,8734
US,0.658,8734
ID,0.642,8734
DE,0.605,8734
BR,0.495,8734
GB,0.483,8734
ES,0.452,8734
NG,0.408,8734
IT,0.386,8734
